Structure,Meaning,Usage,Example,Level
N1 は N2,thì / là,Chủ đề câu,私は学生です。,N5
N + も,cũng,Diễn tả tương tự,私も行きます。,N5
N + で,ở / bằng,Địa điểm – phương tiện,電車で行きます。,N5
N + に / へ,đến,Chỉ hướng / địa điểm,学校に行きます。,N5
Time + に,vào lúc,Chỉ thời điểm,7時に起きます。,N5
N + を + V,đối tượng,Tân ngữ,本を読みます。,N5
N + と,với,Cùng ai đó,友達と行きます。,N5
N + に / へ (cho / tới),cho / tới,Trao – nhận,友達に本をあげます。,N5
N1 の N2,của,Nối danh từ,日本の車,N5
A ですが B,nhưng,Nối mệnh đề,安いですが高いです。,N5
～から ～まで,từ ~ đến,Thời gian / địa điểm,9時から5時まで,N5
あまり～ない,không ~ lắm,Phủ định nhẹ,あまり食べません。,N5
全然～ない,hoàn toàn không,Phủ định mạnh,全然分かりません。,N5
まだ～ない,vẫn chưa,Thời gian,まだ来ていません。,N5
V そうです,có vẻ,Nhận xét,おいしそうです。,N5
N を ください,cho tôi ~,Yêu cầu đồ vật,水をください。,N5
N が います,có (người/động vật),Tồn tại,猫がいます。,N5
N が あります,có (đồ vật),Tồn tại,机があります。,N5
N + 数 + V,số lần,Đếm số lần,2回行きました。,N5
Time に ～ 回,~ lần,Tần suất,1週間に3回,N5
V ましょう,cùng ~ nào,Đề xuất,行きましょう。,N5
V て ください,làm ơn ~,Nhờ vả,待ってください。,N5
N を ほしいです,muốn (đồ),Mong muốn đồ vật,本がほしいです。,N5
V たいです,muốn làm,Mong muốn hành động,日本へ行きたいです。,N5
～ために,để,Mục đích,日本語を勉強するために,N5
V なさい,hãy ~,Yêu cầu / mệnh lệnh,早く来なさい。,N5
V て は いけません,không được,Cấm,入ってはいけません。,N5
V てもいいです,được phép,Xin phép,入ってもいいですか。,N5
V なくてもいいです,không cần,Không bắt buộc,来なくてもいいです。,N5
V なければなりません,phải,Bắt buộc,勉強しなければなりません。,N5
